"침수면적(1,000㎡)",총강수량(mm),기간(일),태풍,평균기온(℃),최다강수1H,최대풍속(m/s),일자,행정구역
12.6,264.0,2,0.0,18.0,73.5,5.2,2010-09-22,중구
214.6,5.5,4,0.0,20.0,1.5,6.2,2016-10-05,중구
221.5,743.2,19,0.0,23.5,75.5,8.5,1998-08-09,중구
0.9,206.5,4,0.0,26.9,34.5,4.5,2003-07-24,송파구
24.1,363.5,6,0.0,23.9,50.0,6.5,2009-07-14,송파구
28.6,55.0,8,0.0,29.2,49.5,6.2,2004-08-08,송파구
49.1,57.0,3,0.0,26.2,41.0,5.9,2010-09-06,송파구
119.2,275.5,2,0.0,19.8,65.0,4.3,2010-09-22,송파구
121.2,332.5,5,0.0,24.4,71.5,6.8,2003-08-25,송파구
134.5,424.0,8,0.0,24.2,57.0,9.6,2002-08-08,송파구
413.1,336.5,4,0.0,25.9,72.0,4.7,2011-07-28,송파구
836.6,905.0,19,0.0,26.1,60.5,7.8,1998-08-09,송파구
